speciesid,populationid,Species,Population/Stock,Status,HUC8,Basin Name
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100206,Siuslaw
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100207,Siltcoos
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100303,Umpqua
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100304,Coos
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100301,North Umpqua
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100302,South Umpqua
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100305,Coquille
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100306,Sixes
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100307,Upper Rogue
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100308,Middle Rogue
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100310,Lower Rogue
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100309,Applegate
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100311,Illinois
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,17100312,Chetco
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010101,Smith
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010102,Mad-Redwood
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010103,Upper Eel
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010104,Middle Fork Eel
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010105,Lower Eel
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010106,South Fork Eel
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010107,Mattole
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010206,Upper Klamath
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010207,Shasta
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010208,Scott
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010209,Lower Klamath
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010210,Salmon
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010211,Trinity
2,29,"Salmon, coho",Southern Oregon/Northern California Coast,NMFS Threatened,18010212,South Fork Trinity
4,111,"Salmon, sockeye",Ozette Lake,NMFS Threatened,17100101,Hoh-Quillayute
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060107,Lower Snake-Tucannon
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060110,Lower Snake River
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17070105,Middle Columbia-Hood
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17070204,Lower John Day
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060101,Hells Canyon
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060103,Lower Snake-Asotin
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17090012,Lower Willamette
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17070101,Middle Columbia-Lake Wallula
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17080006,Lower Columbia
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17080003,Lower Columbia-Clatskanie
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060209,Lower Salmon
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060207,Middle Salmon-Chamberlain
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060203,Middle Salmon-Panther
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060204,Lemhi
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,17060201,Upper Salmon
